Identifier,Start Date / Time,End Date / Time,Title,Subtitle,Type,Description,Permalink,Building Name,Room,Location Name,Cost,Tags,Sponsors
134855-21897673,2/20/26 9:00,2/20/26 10:00,"Chair Aerobics/Stretch, Strength & Balance/Zumba",,Exercise / Fitness,"Lifetime Fitness classes are offered at Briarwood Mall in the JCPenney wing every Monday-Friday from 9-10am. No experience necessary. Classes are specifically designed for older adults, however, everyone is welcome. LTF classes are free, but please consider making a $2/person per class donation as our classes are supported strictly through donations. No registration is necessary, simply attend when it fits your schedule.",https://events.umich.edu/event/134855,Off Campus Location,JCPenney Wing,Briarwood Mall,,"fitness
Health & Wellness",Kinesiology Community Programs
145517-21897461,2/20/26 9:00,2/20/26 16:30,Dancing with the Dragon | Dancing with the Dragon Exhibit at the RC Art Gallery,,Exhibition,"This week at the RESIDENTIAL COLLEGE ART GALLERY, visit a special viewing of the dragon head for the traditional ""dragon dance"" reimagined by artist-in-residence Zhen Guo along with initial concept drawings and dragon calligraphy.

   Guo's imagery and sculptural form lead the viewer on a mythical journey--an open ended invitation to explore the dragon as a traditional symbol of harmony and strength that has been newly refashioned as a feminine serpent, at once powerful, magnificent and slightly sci-fi.

*Accommodation: If there is anything we can do to make this event accessible to you, please contact us at cstep@umich.edu. Please be aware that advance notice is necessary as some accommodations may require more time for the university to arrange.*
----------	
Presented by the Lieberthal-Rogel Center for Chinese Studies. This project was made possible by grants from the University of Michigan Arts Initiative and the Office of the Provost, Global Engagement. 

Additional funding was provided by the Center for World Performance Studies, Stearns Collection of Musical Instruments, ArtsEngine, and U.S. Department of Education.

With support from the International Institute, the School of Music, Theatre & Dance, Residential College, Taubman College, James and Anne Duderstadt Center, University of Michigan Museum of Art, Women’s and Gender Studies Department, University of Michigan Library, Asian Languages and Cultures, and the Nam Center for Korean Studies.",https://events.umich.edu/event/145517,East Quadrangle,RC Art Gallery,East Quadrangle,,"artists and curators
arts
Arts Initiative
Asian Languages And Cultures
China
Chinese Studies
Community Engagement
Exhibition
Sustainability
Visual Arts","Lieberthal-Rogel Center for Chinese Studies
School of Music, Theatre & Dance (SMTD)
Residential College
University of Michigan Museum of Art (UMMA)
University Library
International Institute
Nam Center for Korean Studies
Women's and Gender Studies Department
Center for World Performance Studies
Asian Languages and Cultures
Duderstadt Center
Arts Initiative"
143953-21894308,2/20/26 9:00,2/20/26 17:00,Facilitator Training and Certification,Council Practice with Snap Inc.,Other,"February 20 - 21, 2026 (You must participate for both days, February 20 and 21, to receive certification)
9:00 a.m. – 5:00 p.m. ET, both days
Michigan Ross, Ross Building, 701 Tappan, Ann Arbor
Registration required, $50 fee to attend

About the training:
Join us for an extraordinary chance to participate in a two-day facilitator training and certification in the Council method as practiced at Snap Inc. This special opportunity is available to CPO community members with training led by experienced facilitators from Snap Inc. Participants will engage in learning how to skillfully facilitate this valuable listening and storytelling practice that has been part of the DNA at Snap Inc. since its founding. Council gathers team members in a circle for storytelling as a way to connect, listen, and meet one another as humans, and to scale empathy and foster deeper connections. It is the way that Snap Inc. builds an inclusive community and creates high-performing teams.

In this certification training, you will:
- Learn the basic forms of Council and skill-building activities for facilitation
- Foster deeper connections with those around you
- Practice active listening to cultivate empathy
- Develop your capacity to skillfully bring Council to communities where you want to foster belonging

Questions? Email cpo-events@umich.edu.",https://events.umich.edu/event/143953,Ross School of Business,Location will be shared upon registration,Ross School of Business,$50 ,"Center For Positive Organizations
Training",Michigan Ross Center for Positive Organizations
143967-21894340,2/20/26 9:00,2/20/26 12:00,Jack Pine Research Symposium,University of Michigan Biological Station to Host to Event Focused on Jack Pine Habitat Management and Conservation,Conference / Symposium,"Northern Michigan is part of jack pine country.

Jack pine barrens are imperiled, fire-dependent ecosystems that occur in central and northern Michigan and host numerous rare plant and animal species, including the Kirtland’s warbler.

To bring together the complex community of researchers, forest managers and conservationists focused on jack pine ecosystems, the University of Michigan Biological Station and Northern Pine Plains Partnership will co-host the inaugural Jack Pine Research Symposium.

The free, two-day event is Thursday and Friday, Feb. 19-20, at the University of Michigan Biological Station, located at 9133 Biological Rd. in Pellston.

Registration is required in advance through an online registration form.

“From ornithology to fire ecology, work related to jack pine forests spans a wide scope,” said Adam Schubel, resident biologist at the U-M Biological Station. “It can be tough for active practitioners from different specializations to connect on parallel efforts or emerging innovations happening just over the horizon. This symposium is an opportunity to bring everyone together in an inspiring setting to share knowledge, identify cooperative approaches, build community and chart the future of jack pine research and management in Michigan.”

The symposium will feature speakers and presentations on Thursday, Feb. 19. Discussion and networking will be the focus on Friday, Feb. 20.

Lodging is available at UMBS for a fee of $75 a night, upon request.

Contact Adam Schubel at aschubel@umich.edu with questions about the symposium or to make a housing request.

Contemporary jack pine habitat management is the result of decades of research-driven adaptive management and collaboration.

This effort resulted in successfully emulating many features of a complex ecosystem reconstructed through alternative processes, the recovery of the Kirtland’s Warbler from the brink of extinction, and advanced prescribed fire science.

New ecological questions and management challenges are emerging, in addition to those that have existed for decades.

The Jack Pine Research Symposium aims to discover new collaborative pathways forward and foster new connections.

 

The University of Michigan Biological Station serves as a gathering place to learn from the natural world, advance research and education, and inspire action. We leverage over a century of research and transformative experiences to drive discoveries and solutions to benefit Michigan and beyond.

Our vast campus engages all of the senses. Its remote, natural setting nurtures deep thought and scientific discovery.

Founded in 1909, UMBS supports long-term research and education through immersive, field-based courses and features state-of-the-art equipment and facilities for data collection and analysis to help any field researcher be productive. It is where students and scientists from across the globe live and work as a community to learn from the place.",https://events.umich.edu/event/143967,"Gates Lecture Hall, UM Biological Station",,"Gates Lecture Hall, UM Biological Station",,"AEM Featured
Biological Station
Bsbsigns
Ecology
Research
U-m Biological Station
Umbs",University of Michigan Biological Station
142773-21891456,2/20/26 9:00,2/20/26 17:00,Lynn Galbreath Exhibition,"Twenty-two paintings from the series “Telegraph”, “Working Hard For A Living”, and Storyboard”",Exhibition,"Lynn Galbreath, a Detroit based artist who grew up in Argentina, is a former recipient of the Creative Artists’ Grant from the Arts Foundation of Michigan and the Michigan Individual Artist Grant from Michigan Council For The Arts. Galbreath’s work has been showcased locally, nationally and internationally in over 20 solo/two person and over 100 group exhibitions.

Galbreath has an M.F.A. from the James Pearson Duffy Department of Art, Art History, & Design, Wayne State University, Detroit, MI; and a B.F.A. with Permanent K-12 Certification from The Gwen Frostic School of Art, Western MI University, Kalamazoo, MI. Galbreath has chaperoned eleven intensive, immersive art experiences to Italy, Spain, France, Belgium, England, Germany, the Netherlands, Austria, and the Czech Republic. Lynn is a retired Adjunct Associate Professor of Studio Art from Oakland University, where she has been on the faculty of the Department of Art & Art History since 2000. Lynn has also instructed studio art and design at the College For Creative Studies, University of Detroit Mercy — School of Architecture, Macomb Community College, Wayne State University, and Bloomfield University School. Her work can be seen in the collections of Oakland University, Wayne State University, Detroit Receiving Hospital, Children’s Hospital of Michigan, Pontiac Osteopathic Hospital and numerous private collections.

This exhibition consists of works from a variety of series created by Galbreath over the years: Telegraph, Storyboard, and Working Hard for a Living. Each series represents a unique exploration of themes, techniques, and social commentaries that reflect Galbreath’s artistic journey and concerns for the world.

Telegraph explores the aesthetic visual weights and balances between harmony and content, diving deep into how visual elements can convey messages and emotions. This series invites viewers to reflect on the way art communicates through its formal qualities, as well as its narrative possibilities. The careful interplay of shapes, colors, and textures in these works prompts an examination of the viewer's perception and emotional response. By utilizing abstract forms, Galbreath encourages an engagement that goes beyond mere observation, seeking to provoke thought about how aesthetic choices influence understanding and meaning.

On the other hand, Storyboard is a series of image-driven installation paintings that vary greatly in size, showcasing Galbreath’s versatility and creative ingenuity. The titles of the works draw inspiration from the years spent creating visuals for TV commercials and public service announcements, illustrating how commercial art often intertwines with societal messages. This series emphasizes the profound impact visual narratives have on consumer culture and public perception, underscoring the artist's belief in the potency of imagery to shape narratives. The installations weave a complex fabric of storytelling that challenges viewers to reconsider their relationship with media and the messages they consume daily.

Working Hard for a Living pays tribute to our sustainable and unsustainable resources, shedding light on the individuals who toil diligently within these economic frameworks. This series highlights the hard-working suppliers of essential products, including Farm Market Managers, Fishmongers, and Beach Vendors. By portraying these self-employed individuals, often operating within informal economies, Galbreath draws attention to the unique challenges they face. These individuals frequently contend with low, inconsistent incomes, long hours, and sometimes exploitative conditions, fostering a sense of solidarity with those who labor under such circumstances.

Furthermore, the series invites viewers to confront the broader societal structures that contribute to these inequities. Galbreath's work serves not only as a tribute but also as a call to action to consider how our consumer habits and economic policies affect the livelihoods of others. The layered narratives present in this series open a dialogue about the value we place on labor and the often unseen struggles that support our day-to-day lives. Through these explorations, Galbreath establishes a multifaceted narrative that intertwines art with activism, compelling audiences to engage both aesthetically and ethically with the realities depicted in the exhibition.",https://events.umich.edu/event/142773,North Campus Research Complex Building 18,Rotunda Gallery,North Campus Research Complex Building 18,,"Art
ArtsEngine
Culture
Detroit
Exhibition
Free
North Campus
Visual Arts",North Campus Research Complex NCRC Art Program
142417-21890864,2/20/26 9:00,2/20/26 20:00,Materia Magica: Materiality and Ritual in the Greco-Roman World,,Exhibition,"View a diverse array of artifacts which were created to communicate with and call upon various unseen, supernatural forces for aid and protection. While the objects on display are disparate at first glance, ranging from lead tablets and amulets to papyrus and parchment leaves, they all share a common thread: they have long been labeled as ""magical"" in traditional Western scholarship.

However, each of these artifacts is better understood on a broad spectrum of ancient ritual, from subversive and transgressive acts to highly social and visible ones. The exhibit highlights the objects’ oft-overlooked material dimensions, asking us to consider how qualities like color, texture, and weight shaped an object’s perceived efficacy and meaning. 

This exhibit was a collaboration, and displays items from several University of Michigan units: the library’s Special Collections Research Center and Papyrology Collection, the Museum of Natural History, and the Kelsey Museum of Archaeology. It was curated by Abigail Staub, PhD Candidate, Interdepartmental Program in Mediterranean Art & Archaeology.

Anna Bonnell Freidin, U-M associate professor of history, will talk about ""Healing the Womb: Uterine Amulets in the Roman World"" (https://events.umich.edu/event/142418) on January 16.",https://events.umich.edu/event/142417,Hatcher Graduate Library,,Hatcher Graduate Library,,"Archaeology
Free
Library",University Library
142768-21891369,2/20/26 9:00,2/20/26 17:00,Terence Swafford Exhibition,On Site:  Paintings from Detroit’s East Side (2015-2025),Exhibition,"This exhibition showcases a decade of artist Terry Swafford’s work in Detroit, marking the culmination of years spent composing scenes from the untamed edges of urban communities. These paintings serve as a visual record of Detroit’s transformation, capturing humanity’s impact on the environment alongside nature’s persistent efforts to reclaim these spaces. As the city continues to change, many of these depicted scenes are vanishing, no longer visible in the landscape today. The significance of this documentation goes beyond mere nostalgia; it invites viewers to reflect on the dynamic interplay between urban development and ecological restoration, prompting a deeper understanding of how cities evolve while retaining traces of their history.

Swafford’s paintings are created on location and in one session. The natural conditions, including light, shadow, and atmosphere, change dramatically from hour to hour and day to day, forcing the artist to respond quickly and decisively. This approach, born of a direct engagement with the subject and the fleeting nature of the scene, along with his wet-on-wet technique, keeps the work fresh and immediate. By immersing himself in the environment, Swafford captures the diverse textures and vibrant colors that characterize Detroit’s landscape, imbuing his work with a sense of urgency and spontaneity. Each brushstroke conveys a commitment not only to visual accuracy but also to emotional resonance, as he strives to encapsulate the spirit of a place that is both loved and contested.

In addition to these works, the artist constantly sketches ideas both for paintings and for designing projects in his business. These sketches serve as visual language, helping him clarify and refine his concepts before bringing them to life. They become a means to communicate ideas to clients and his crew and become an extension of his voice—an academic exercise rooted in artistic practice that fosters collaboration and innovation. The act of sketching also reflects his evolving relationship with the city, as each drawing encapsulates fleeting moments of inspiration drawn directly from his surroundings. This duality of function—creating art for exhibition and conceptualizing designs for projects—demonstrates Swafford’s versatility and adaptability as an artist.

Swafford received a Bachelor of Fine Arts degree in painting from the Rhode Island School of Design, and while at RISD, he was part of the European Honors Program. His education not only honed his technical skills but also broadened his artistic perspective through exposure to varied artistic traditions. He has shown his work in both solo and group exhibitions in Chicago, Kansas City, and New York State. Each exhibition serves as a testament to his commitment to his craft and his ability to engage diverse audiences, offering them an opportunity to explore the complex narratives woven into each landscape.",https://events.umich.edu/event/142768,North Campus Research Complex Building 18,Connections Gallery,North Campus Research Complex Building 18,,"Art
ArtsEngine
Culture
Detroit
Exhibition
Free
Humanities
North Campus
Visual Arts",North Campus Research Complex NCRC Art Program
138431-21890629,2/20/26 9:00,2/20/26 21:00,"The Evolution of Campus, 1838-1963: A Cartographic Celebration of U-M's History",,Exhibition,"Learn about the campus’ history and architecture and explore the campus that might have been. This exhibit highlights the U-M Ann Arbor campus, both before its creation and throughout its continuous evolution. Featuring the work of famous architects such as Alexander Jackson Davis, Albert Kahn and Eero Saarinen, the exhibit presents maps, plans, architectural drawings, proposals, and photographs of the campus throughout its evolution.  

This exhibit was originally part of a larger exhibit displayed from July 2017 to January 2018 to commemorate U-M's bicentennial.",https://events.umich.edu/event/138431,Hatcher Graduate Library,Clark Library (2nd floor),Hatcher Graduate Library,,"Free
Library
Maps",University Library
142791-21891575,2/20/26 9:00,2/20/26 17:00,Tukilile Vaa,An exhibition by Kaloki Nyamai,Exhibition,"Kaloki Nyamai is a multidisciplinary artist based in Nairobi. His practice explores Kenya's histories and collective memory, blending Kamba traditions with contemporary narratives. Using acrylic paint, rope, photo transfers, and stitched yarn, his free-hanging immersive works blur the boundaries between painting, sculpture, and installation. For his U-M project, Nyamai will present one large unstretched piece and two framed paintings at the Institute for the Humanities, as well as a second free-hanging work at the U-M Museum of Art.

The physicality of his complex constructions inspire wonder in the viewer. The works are vast in scale, embedded with stories, where past and future merge both poetically and conceptually. In each composition, the artist proposes a powerful alternative to the flatness of singular narratives of Kenyan history and identity presented as the definitive postcolonial account. He likens the formal act of stitching to symbolically unifying a wounded or fractured community.

Nyamai founded the Kamene Cultural & Research Center in Nairobi, a creative and collaborative hub dedicated to the preservation, promotion, and innovation of African cultural practices.

About the artist:
Kaloki Nyamai (*1985 in Kitui, Kenya) is a multidisciplinary artist working with installation, painting, and sculpture based in Nairobi. From an early age, his mother introduced him to painting and taught him to draw, fostering an ever-lasting interest in art throughout his life. He often finds inspiration in his grandmother’s stories of the Kamba people, a Bantu ethnic group of eastern Kenya. Using materials like acrylic paint, sisal rope, photo transfers, and stitched yarn, Nyamai’s free-hanging pieces evoke the healing of historical wounds and a collective yearning for renewal. His works blur the boundaries between painting, sculpture, and installation, creating cohesive, immersive experiences where past, present, and future converge poetically.

Nyamai studied Interior Design at the Buruburu Institute Of Fine Arts (BIFA) and then pursued painting after working in other creative fields. His large-scale paintings and mixed-media installations intricately explore historical narratives, examining their resonance in the present. Nyamai has shown his work across the globe in solo exhibitions at the Norval Foundation, Cape Town (2024); James Cohan Gallery, New York (2024); Galerie Barbara Thumm, Berlin (2023 and 2022); SEPTIEME Gallery, Paris (2019), and other venues. In 2023, he featured part of his series Dining in Chaos in the “Unlimited” section at Art Basel in Basel. He has participated in group exhibitions and biennials, most recently at the Sharjah Biennial 16, Sharjah (2025); The Völklinger Hütte, Völklingen (2024); the Kenyan Pavilion at the Venice Biennale, Venice (2022); and the Dakar Biennale (2022). His works are part of numerous private and institutional collections around the world, such as the Dallas Art Museum, the Southern African Foundation for Contemporary Art, and the Arthur Primas Museum.",https://events.umich.edu/event/142791,202 S. Thayer,Institute for the Humanities Gallery,202 S. Thayer,,"Art
Exhibition
Humanities
Visual Arts",Institute for the Humanities
145037-21896572,2/20/26 10:00,2/20/26 17:00,Aerospace and Defense Industry 30-minute mentoring,,Careers / Jobs,"Are you an engineering student interested in a rewarding career in the aerospace & defense industry? Don’t miss out on our upcoming Aerospace and Defense Industry 30-Minute Mentors event! This unique opportunity allows you to connect one-on-one with accomplished alumni who are making an impact in these fields. During these 30-minute sessions, you’ll gain valuable insights into different career paths, learn what it’s like to work in these industries, and receive personalized advice to help you plan your future. Whether you’re just starting to explore or are ready to take your next step, our alumni are excited to share their experiences and help you succeed. Secure your spot, expand your network, and gain industry-specific guidance! All sessions will be held remotely via zoom.",https://events.umich.edu/event/145037,Off Campus Location,,Virtual,,"Graduate Students
Michigan Engineering
Undergraduate Students",Michigan Engineering
144765-21895827,2/20/26 10:00,2/20/26 11:30,"Author Conversation with Martha  S. Jones, ""The Trouble of Color: An American Family Memoir”",,Lecture / Discussion,"Prizewinning scholar and renowned author of Black history Martha S. Jones will join the Bookworm for a conversation on identity, belonging, and family, drawing from her powerful new book, The Trouble with Color: An American Family Memoir.

Martha S. Jones grew up feeling her Black identity was obvious to all who saw her. But weeks into college, a Black Studies classmate challenged Jones’s right to speak. Suspicious of the color of her skin and the texture of her hair, he confronted her with a question that inspired a lifetime of introspection: “Who do you think you are?”

Jones delves into her family’s past for answers. In every generation since her great-great-great-grandmother survived enslavement to raise a free family, color determined her ancestors’ lives. But the color line was shifting and jagged, not fixed and straight. Some backed away from it, others skipped along it, and others still were cut deep by its sharp teeth.

Journeying across centuries, from rural Kentucky and small-town North Carolina to New York City and its suburbs, The Trouble of Color is a lyrical, deeply felt meditation on the most fundamental matters of identity, belonging, and family.

Sponsored by Cinda-Sue Davis.",https://events.umich.edu/event/144765,Off Campus Location,,Off Campus Location,,"african american
american culture
american history
Black America
Black History Month
Book Talk
Books
Discussion
Diversity
history
Library
Literature
Podcast
Talk",William L. Clements Library
143170-21892363,2/20/26 10:00,2/20/26 11:00,La Tertulia: Spanish Coffee Hour,,Social / Informal Gathering,"Hola! ¿Cómo estás?

-Practice your Spanish-speaking skills with peers & instructors in a relaxed environment. All language levels and students are welcome to join the conversation.

-Come & go as you please, stay as little or as long as you would like!

-Free coffee, tea, light snacks, & baked goods.

The RLL Commons is located in the center hallway of the 4th floor of the Modern Languages Building.

For more information contact Julie Harrell at (harrelju@umich.edu).",https://events.umich.edu/event/143170,Modern Languages Building,"RLL Commons, 4314 MLB",Modern Languages Building,,"Central America
Coffee
Community
Community Engagement
Culture
Engaged Learning
Europe
European
Food
Free
Games
Intercultural
International
Language
Languages
Latin America
Networking
Romance Languages And Literatures
Social
Spain
Spanish
Study Abroad
Undergraduate
Undergraduate Students",Romance Languages & Literatures RLL
