name,titles,bio,profile_url
Neroli Austin,Assistant Professor of Finance,,https://michiganross.umich.edu/faculty-research/faculty/neroli-austin
Lennart Baardman,Assistant Professor of Technology and Operations,"Biography Lennart Baardman is an Assistant Professor of Technology & Operations in the Ross School of Business at the University of Michigan since 2019. His research interests focus on retail analytics using predictive and prescriptive techniques from mathematical modeling, optimization, statistics, and machine learning to solve practice- and data-driven problems primarily for revenue management and supply chain management in retail. These research problems are motivated by the practice and data coming from collaborations and interactions with Adobe, Amazon Fresh, Armoire, CMPC, GoPuff, Hello Fresh, Hungryroot, Johnson & Johnson, Oracle and others. He holds a Ph.D. in Operations Research from the Massachusetts Institute of Technology, an M.A.St. in Mathematics from the University of Cambridge, and a B.Sc. in Econometrics and Operations Research from the University of Groningen.",https://michiganross.umich.edu/faculty-research/faculty/lennart-baardman
Jean-Paul Baldwin,Lecturer of Technology and Operations,"Biography Jean-Paul (‘J-P’) Baldwin is currently a Data Scientist and Section Supervisor at Ford Credit Motor Company.  Originally from South Africa, Jean-Paul has taught a variety of statistics, economics and mathematics for over 10 years—including classes at Nelson Mandela University, University of Florida, Miami University, and most recently, as an intermittent lecturer with the University of Michigan. Jean-Paul holds a Master’s and PhD degree in Statistics and Agricultural Economics, respectively. He obtained his MBA degree, with a focus in Finance, from Miami University.",https://michiganross.umich.edu/faculty-research/faculty/jean-paul-baldwin
Ryan T Ball,Clinical Assistant Professor of Accounting,"Biography Ryan Ball is a Clinical Assistant Professor of Accounting at the University of Michigan’s Ross School of Business. He conducts research in two areas. The first area focuses on understanding how high-frequency economic activities differentially affect and are affected by low-frequency accounting information using a mixed data sampling approach. He has applied this approach across a number of research topics including the role of aggregate earnings as a macroeconomic leading indicator, seemingly inefficient tax choices by shareholders, performance evaluation relative to aspirational peers, and real-time forecasts of firm-level accounting earnings. The second area examines the contracting and valuation roles of accounting information in debt markets. He has published his research in Management Science , Review of Accounting Studies and Journal of Accounting Research . In addition to his research, Ryan has been recognized for his teaching at Michigan as a five-time recipient of the Ross Business School’s Neary Teaching Excellence Award as well as the first Ross faculty to receive the University of Michigan’s Golden Apple Teaching Award in 2016. Previously, Ryan worked at the University of Chicago’s Booth School of Business as an Assistant Professor of Accounting where he taught an MBA elective course on accounting for mergers and acquisitions.  In addition, he worked as a structural engineer for Burgess and Niple, LTD in Cleveland, Ohio prior to earning his graduate degrees in business. Ryan holds a Ph.D. (2008) and an MBA (2003) from the University of North Carolina at Chapel Hill as well as an MS in Structural Engineering (1998) and a BS in Civil Engineering (1996) from Ohio University.",https://michiganross.umich.edu/faculty-research/faculty/ryan-t-ball
Akshina Banerjee,Assistant Professor of Marketing,"Biography Prof. Banerjee's research spans a wide array of topics focusing on the intersection of language and marketing, with a particular emphasis on how language influences consumer decisions. Her work delves into the role of language in shaping how consumers process and comprehend information, highlighting the importance of decision heuristics and mental accounting in purchasing behaviors. Methodologically, her research uses experimental methods, advanced natural language processing techniques, and also secondary data analysis; an approach that enhances her fit with our interdisciplinary culture.",https://michiganross.umich.edu/faculty-research/faculty/akshina-banerjee
Snehal Banerjee,Area Chair of Finance | Professor of Finance | Michael R. and Mary Kay Hallman Faculty Fellow,"Biography Snehal Banerjee's research interests include learning and disagreement in financial markets, liquidity, and behavioral finance. His current research involves studying how investors acquire and process information in financial markets, how firms' disclosure decisions affect such behavior, and how regulatory policy affects the information environment and economic welfare. Snehal earned his B.A. in Economics, Mathematics and Computer Science from Brandeis University and his Ph.D. from Stanford University's Graduate School of Business. Prior to his arrival at the Ross School of Business, Snehal was an Associate Professor of Finance at the Kellogg School of Management at Northwestern University and an Associate Professor of Finance at the Rady School of Management at UC San Diego.",https://michiganross.umich.edu/faculty-research/faculty/snehal-banerjee
Mike Barger,Clinical Assistant Professor of Business Administration | Area Chair of Business Administration,"Biography Dr. Mike Barger is an Assistant Clinical Professor of Business Administration and former Executive Director, Ross Online, at the Stephen M. Ross School of Business, University of Michigan. In his teaching role, Dr. Barger leads courses in entrepreneurship, early-stage business development, and leadership during organizational crisis. In his staff role, he facilitated the design and execution of the School’s digital education initiatives. Dr. Barger graduated from the University of Michigan in 1986 where he received his undergraduate degree in Economics and Psychology. He then received his commission as an Officer in the United States Navy where he served for thirteen years, completing three, six-month deployments as a pilot and flight instructor flying the F/A-18 Hornet aboard USS Theodore Roosevelt and USS Dwight David Eisenhower. These deployments included combat action in Iraq during Operation Desert Storm, over Bosnia, and in the skies above Kosovo. While in the Navy, Mike spent his entire career in pilot education highlighted by a tour as a student, Instructor and then Chief Instructor at the Navy Fighter Weapons School (TOPGUN). Throughout his naval career, he was a widely published author, speaker and educator on combat strategy, training techniques (particularly in advanced simulation), and complex weapons systems employment. Dr. Barger left the US Navy in 1999 to be founding member of JetBlue Airways. He created JetBlue University, the award-winning corporate training function that provides learning and development to all members of the JetBlue workforce (it remains the only single-source provider of company education in the airline industry worldwide). During his time at JetBlue, Mike also served as the senior pilot on both varieties of JetBlue aircraft (the Airbus 320 and Embraer 190); was the senior leader responsible for all Flight Operations, Maintenance Operations, Talent Management and Enterprise Strategy, and was asked to lead the company’s Emergency Command Center, which guided JetBlue through events such as the 9/11 crisis and the 2003 Northeast US Blackout. Following his thirteen years at JetBlue, Dr. Barger served for six years as the Chief Operating Officer of CorpU, an education technology company based in Philadelphia, PA. As COO, he oversaw all CorpU operations including the design, creation and delivery of all CorpU Academy courses, educational offerings built on the wisdom and insight of the brightest minds in academia and business. Dr. Barger has a deep passion for helping leaders solve their most complex business challenges with knowledge and tools that help them harness the collective genius already present in their organizations. In 2006, while serving as the head of JetBlue U, Mike helped create a doctoral program in Workplace Learning Leadership at the University of Pennsylvania, where he served as an Advisory Board member, Faculty member, and program participant. He received his Master’s Degree in Learning Leadership in 2008 and his Doctor of Education degree in 2009. Dr. Barger lives with his wife and children in Novi, Michigan, USA.",https://michiganross.umich.edu/faculty-research/faculty/mike-barger
Christie Barrett,Lecturer of Strategy,"Biography Ms. Christie Wong Barrett guides organizations toward sustainable growth through strategic insight, technology foresight, digital and operational transformation, and global perspectives. Ms. Wong Barrett presently serves as an Independent Board Member for DMI Companies, an Intermittent Lecturer at the University of Michigan Ross School of Business, and as Co-Director of AmplifyD, a non-profit innovation platform in partnership with PlugANDPlay to incubate startups with minority and women founders. Previously she was Chief Executive Officer and owner of MacArthur, a world-class manufacturer of innovative labels and functional components with operations in the U.S., China, Mexico, and Poland. Following the 2021 acquisition by AWT Labels & Packaging (AWT), Christie served on the executive leadership team with responsibility for Corporate Strategy and Marketing. Ms. Wong Barrett served as a national policy advisor on manufacturing sector innovation through her appointments on the White House Advanced Manufacturing Partnership, Department of Commerce Manufacturing Council, and the MForesight national think tank. Ms. Wong Barrett’s early career included management consulting positions at global consultancies McKinsey & Company and Charles River Associates, and engineering roles at Raytheon Company and Schlumberger. Ms. Wong Barrett holds over 25 years of business experience spanning strategy, operations, innovation/R&D/engineering, marketing, supply chain, globalization, transformation, M&A, and organizational performance. She has worked in over twenty countries on complex business challenges for multinational Fortune 100s, mid-market privately held companies, and public-private partnerships. Christie has been recognized by dBusiness, the Women’s Business Enterprise National Council (WBENC), National Minority Supplier Development Council (NMSDC), Great Lakes Women’s Business Council (GLWBC), and the Michigan Minority Supplier Development Council (MMSDC) for her contributions in business and economic development.",https://michiganross.umich.edu/faculty-research/faculty/christie-barrett
Mehmet Begen,Adjunct Professor of Technology and Operations,"Biography Dr. Mehmet A. Begen is an industrial engineer and management scientist. Mehmet's research focuses on scheduling, healthcare analytics, and applying management science and operations management across various industries. He has been a PI or co-PI for several research grants and is a Certified Analytics Professional (CAP) and worked in management consulting before his PhD studies. Mehmet teaches courses on analytics, programming, big data tools and statistics. He is currently an Associate Professor at the Ivey Business School and an adjunct faculty member at the Ross School of Business.",https://michiganross.umich.edu/faculty-research/faculty/mehmet-begen
Damian Beil,Professor of Technology and Operations | Ford Motor Company Co-Director of the Joel Tauber Institute for Global Operations,"Biography Damian Beil is the Area Chair for the Technology & Operations group at Ross. He teaches the MBA operations management core and an elective on strategic sourcing. In his research, Beil develops mathematical models to analyze complex problems in sourcing. His primary research interests are in strategic sourcing, supply chain management, and market design across a variety of settings and industries. He serves as an Associate Editor for Management Science , Operations Research , and Naval Research Logistics , and is on the Editorial Board of INFORMS Analytics Collections . Prior to joining Michigan, Beil received a BA in Mathematics from New College and a PhD in Operations Research from M.I.T.",https://michiganross.umich.edu/faculty-research/faculty/damian-beil
Justin Berg,Associate Professor of Management and Organizations | Buzz and Judy Newton Faculty Fellow | Management and Organizations Faculty Doctoral Coordinator,"Biography Justin M. Berg is an award-winning researcher, teacher, and thought leader on the science of creativity and innovation. He studies how to successfully develop, evaluate, and implement creative ideas in and outside organizations over time. This includes research on job crafting, which is the process of employees creatively redesigning their own jobs to better suit their personalities and interests. Justin received his Ph.D. in management from The Wharton School, University of Pennsylvania and his B.A. in organizational studies and psychology from the University of Michigan. After spending a decade on the faculty at the Stanford Graduate School of Business, he realized his longtime dream of returning to the University of Michigan as a tenured professor at the Ross School of Business. He has done research with and consulted for a variety of organizations, including Cirque du Soleil, Google, VMware, Burt’s Bees, and the Make-A-Wish Foundation. His work has been published in Administrative Science Quarterly , Academy of Management Journal, Academy of Management Review, Journal of Applied Psychology, Organizational Behavior and Human Decision Processes , and Organization Science. He has been invited to discuss his pioneering work on top podcasts, including Hidden Brain and Freakonomics , and his insights have been featured in TIME, BusinessWeek, Wall Street Journal, Fast Company, The Atlantic, Inc., Forbes, Washington Post, and Harvard Business Review. In addition, Justin has received the Best Published Paper Award from the Academy of Management OMT Division, as well as the Penn Prize for Excellence in Teaching by Graduate Students. Prior to graduate school, Justin was an R&D Consultant for the Center for Positive Organizations at Michigan Ross. During this time, he led the invention of the Job Crafting™ Exercise (along with Jane Dutton and Amy Wrzesniewski), which is a tool that helps people creatively redesign their jobs to be more engaging and fulfilling.",https://michiganross.umich.edu/faculty-research/faculty/justin-berg
Norman Bishara,Professor of Business Law and Ethics,"Biography Scholarly Interests: human capital law and policy, including employee noncompete agreements and the Future of Work, corporate governance with a focus on corruption control Teaching Areas: BL 488: Business and Public Policy (Washington Campus, 2018-present); BL 300: Business Law & Ethics; BL 536/NRE 536 (currently): Legal Knowledge for Values-Driven Leaders, BL 512: Foundations of Business Law, and BL 309: Professional Integrity, Ethics, and the Law (currently); BA 100 (Introduction to Ross - Foundations in Learning Business) and BA 102 (Business Foundations) Norm Bishara's research interests include the areas of corporate governance and corruption as a constraint on business activity, international legal reform and business ethics in the developing world with a focus on the Middle East, and covenants not to compete as an obstacle to employee mobility and knowledge transfer.  His academic field research includes a position as the principal researcher and project consultant with the Lebanese Transparency Association (LTA) in Beirut, an affiliate of Transparency International, where he coauthored the first Lebanese Code of Corporate Governance.  Professor Bishara's recent research is focused on corporate governance in the Middle East to circumvent a business ethics glass ceiling, the evolving role of the corporation and the employee relationship to Benefit Corporations and B Corps, corruption as a human rights issue, corporate corruption in the executive suite, and noncompete agreement enforcement variations across the United States and the implications for highly skilled labor mobility, including CEO contracts. Professor Bishara is a staff editor in the American Business Law Journal and a past president of the Employment Law Section of the Academy of Legal Studies in Business. He has also previously taught Business Enterprises at Michigan State University College of Law and worked with the United Nations Development Programme-RBEC.  While in private practice in New York State he represented a diverse group of corporate and individual clients in corporate, insurance, and commercial litigation matters.  He is a past chairperson of the Alumni Board of the Gerald R. Ford School of Public Policy at the University of Michigan and a former Social Enterprise Research Fellow with the William Davidson Institute.  During the 2016-17 academic year he was a Visiting Professor at IESE Business School in Barcelona, Spain. For the 2023-24 academic year he was a visitn scholar at the William School. Richardson School of Law and a Visitor at the Shidler College of Business, university of Hawai'l at Manoa in Honolulu. Professor Bishara’s work has recently appeared in or is forthcoming in the Vanderbilt Law Review, Indiana Law Journal, the American Business Law Journal, the Journal of Law and Economics, the Journal of Law, Economics, and Organization, the NYU Journal of Law & Business, the University of Pennsylvania Journal of Business Law, the Berkeley Journal of Employment & Labor Law, and the Journal of Business Ethics, as well as in compilation volumes on business law, human rights, and corruption topics. His professional recognitions include the ALSB Early Career Faculty Award, an Outstanding Proceedings Award, the Mauer Award for Best Submitted Ethics Paper and Distinguished Proceedings Paper Awards, as well as Holmes-Cardozo Award Competition finalist awards, from the Academy of Legal Studies in Business.",https://michiganross.umich.edu/faculty-research/faculty/norman-bishara
Erika Block,Lecturer of Technology and Operations,"Biography Erika Block is an entrepreneur, advisor, investor, and educator who works with startups and community organizations at the intersection of strategy, leadership, and storytelling. With 15 years of experience as a playwright, director, and theater company founder, research for a theater project led to an unexpected customer discovery process that ultimately evolved into Erika's first tech startup. Her expertise includes SaaS, marketplaces, food supply chains, climate/sustainability, local economies, new media, and community development. She is the principal of Sticky Lab , working with clients to solve sticky problems, tell sticky stories, and build organizations that will stick around for the long haul. Erika is on the faculty of the University of Michigan, with appointments in the Center for Entrepreneurship (College of Engineering) and the Ross School of Business. She also works with climate and energy startups as a Mentor-in-Residence with VentureWell. Common threads across her work: Building collaborative environments that enable creativity, learning and action.
	Facilitating conversations among people who don't usually connect.
	Identifying and developing new business opportunities.
	Unrelenting curiosity. Erika has an MFA from Columbia and a BGS from Michigan. She has been a PopTech Social Innovation Fellow, an NEA/TCG Directing Fellow, and a Crain's Detroit Business 40 under 40 recipient. Classes: TO 448/548: Integrated Product Development ENTR 570: Creativity and Product Development​ ENTR 490.104: Storytelling for Innovators ENTR 490.105: AI, Entrepreneurship and the Next Industrial Revolution",https://michiganross.umich.edu/faculty-research/faculty/erika-block
Josh Botkin,Lecturer of Entrepreneurial Studies | Entrepreneur-in-Residence,"Biography Joshua Botkin is a Lecturer of Entrepreneurial Studies at Michigan Ross and an Entrepreneur-in-Residence at the Zell Lurie Institute for Entrepreneurial Studies. He teaches entrepreneurship and innovation to a broad range of learners, including undergraduates, graduates, executives and alumni. He is also the Faculty Director of Michigan’s Zell Entrepreneurs Program, which provides financial support and mentorship to the University’s most promising student founders. When he's not on campus, Botkin actively practices entrepreneurship and innovation. For the past several years he has worked with venture-backed startups including: HistoSonics (post-Series C), a medical device startup company whose novel focused-ultrasound technology destroys tumors non-invasively, without heat or ionizing radiation; and Vergent Bioscience (Series B), a biotech startup commercializing a molecular agent that binds to tumors and fluoresces under near-infrared light, to improve intraoperative visualization during surgery. As a strategic innovation consultant, Botkin works with Global 500 companies, venture- and angel-backed startups, and nonprofit organizations to identify significant unmet needs and create new-to-the-world products, services and business models. He has led large innovation projects and training sessions for clients such as AARP, Ford Motor, and UnitedHealth Group. Earlier in his career he served as the VP of Product & Business Development at an orthopedic-health startup, helped launch and manage the e-commerce division for a Fortune 500 retailer, and worked on a series of PBS documentaries hosted by Walter Cronkite. He holds an MBA from the University of Michigan and a BA from Columbia University.",https://michiganross.umich.edu/faculty-research/faculty/josh-botkin
John Branch,"Clinical Associate Professor of Business Administration | Associate Director, Center for Russian, East European, & Eurasian Studies | William Davidson Institute Research Fellow","Biography John D Branch currently teaches a variety of marketing and international business courses at the undergraduate, MBA, and executive levels at the Stephen M Ross School of Business at the University of Michigan (USA), and serves as Co-Director of the Yaffe Digital Media Initiative. Previously, he was Academic Director of the School’s weekend and evening MBA programmes; earlier, he was also Director of Educational Outreach at the University’s William Davidson Institute. John also holds an appointment at the University’s Center for Russian, East European, & Eurasian Studies, and maintains a Research Fellowship at the William Davidson Institute. Prior to joining Michigan Ross, John was on the faculty of the Olin Business School at Washington University in Saint Louis (USA) for five years. He began his academic career in 1993, however, as an Assistant Professor of Marketing at École Supérieure de Commerce de Rennes in France. Since then, he has also served as an adjunct or visiting professor at more than 40 business schools throughout world, including the Zagreb School of Economics and Management (Croatia), ESAN (Peru), and the Sasin Graduate Institute of Administration (Thailand). He is currently an Associate Fellow at Homerton College, and a Member of the Knowledge, Power, and Politics research group of the Faculty of Education, both of the University of Cambridge (England). He was a visiting scholar at Queen Elizabeth House of the University of Oxford (England), Wolfson College of the University of Cambridge (England), and the JL Kellogg Graduate School of Management of Northwestern University (USA). John has been involved in a variety of European Union and other government-funded development projects, most notably in the republics of the former USSR, including Kyrghyzstan, Ukraine, and Uzbekistan, and in those of Eastern and Central Europe. He has also conducted management training and consulting in numerous international companies, including Anheuser-Busch, British Telecom, Saudi Telecom Company, GE, Mercedes Benz, Mirvac, Oracle, Coca-Cola, Michelin, Ericsson, and Nestlé. John is originally from Canada. He holds a Bachelor of Engineering Science in electronics from the University of Western Ontario (Canada), a Master of Business Administration from the University of New Brunswick (Canada), a Master of Arts in education from Washington University in Saint Louis (USA), a Doctor of Philosophy in marketing from the University of Cambridge (England), a Doctor of Education from the University of Michigan (USA), and a Doctor of Professional Studies from Middlesex University (England).",https://michiganross.umich.edu/faculty-research/faculty/john-branch
