course_number,title,term,credit_hours,instructor,description
EAS 447.001,Forest Ecology&Mgmt,Fall 2025,4,Stella Cousins,"In Forest Ecology and Management, students will apply biological and ecological concepts to forest ecosystems, focusing on how forests are affected by and provide for human landscapes. First, students will build an understanding of the elements within forests and the factors and processes influencing them. Then, students will use current ecological research and management examples to examine contemporary challenges to trees and forests that stem from global change (e.g. climate shifts, landscape fragmentation, pollution, introduced species) as well as forests’ resilience and potential for restorative processes. Field and computing labs will focus on assessing forest patterns, functions, key demographic features, biodiversity, and carbon storage dynamics. Measurements will be drawn first-hand from UM-SEAS’ Saginaw Forest, our primary study site throughout the term. Students will gain skills in direct vegetation measurement, sampling design, reading primary literature, and environmental data synthesis. Labs will additionally provide practice with tools for field data visualization and analysis in R. All students will complete an in-depth independent study using primary scientific literature. Graduate students will further apply their study and the concepts discussed toward the development of a research proposal or land management plan for an existing forest site of their choice."
EAS 447.002,Forest Ecology&Mgmt,Fall 2025,4,Stella Cousins,
EAS 447.003,Forest Ecology&Mgmt,Fall 2025,4,Stella Cousins,
EAS 451.001,Biol of Mammals,Winter 2026,4,,
EAS 451.002,Biol of Mammals,Winter 2026,4,,
EAS 451.003,Biol of Mammals,Winter 2026,4,,
EAS 457.001,AfriChina EnvironDev,Winter 2024,3,,When China Comes to Town: Environment and the Politics of Development in Africa - This course will address post-colonial African states as a historically unique social form that presents special challenges for the socioeconomic and political analysis of environment and development. The course will focus on the growing interest of emerging world economic powers such as China in Africa's natural resources.
EAS 475.001,Environ Law,Winter 2026,3,Kimberly Smith,"Environmental Law introduces you to the history and current structure of American environmental law. It addresses the constitutional foundations of environmental law, some major federal environmental regulatory statutes, and current debates over governmental management of the environment. Topics include: federal authority over public land and water, tribal authority over natural resources, how to ensure environmental justice, and whether and how federal or state government can address climate change. There will be no exams; grades will be based on written work and a group presentation."
EAS 475.002,Environ Law,Winter 2026,3,"Kimberly Smith Williams, Jessie",
EAS 475.003,Environ Law,Winter 2026,3,"Kimberly Smith Williams, Jessie",
EAS 475.004,Environ Law,Winter 2026,3,"Kimberly Smith Williams, Jessie",
EAS 476.001,Ecosystem Ecology,Winter 2026,3,,"Current theories about the control and function of ecosystems, the approaches and techniques being used to test these theories, and the application of theory to the management and restoration of ecosystems."
EAS 480.001,Climate Change,Winter 2026,3,,"All sectors of society are affected by climate change:  science, policy, business, economics, public health, energy, ecosystems, environmental engineering, journalism, religion, etc.  This course explores the intersections of these communities and exposes students the factual and contextual elements that will allow effective participation in the adaptation to climate change."
EAS 501.001,Professional Practice,Winter 2026,3,Paul Kissinger,"This course will offer students an opportunity to learn about how environmental design professionals such as landscape architects work and function in a variety of practice types, from private firms to multidisciplinary firms, governmental agencies, and non-profit NGOs. Topics will cover an array of issues, including office practice and structure, project management, contracts, project management, running effective meetings, licensure, and more. Numerous guest speakers will cover a variety of questions and discuss their own professional context. Students will refine their resumes, portfolio, and cover letter as an assignment in order to assist in the search for positions after graduation. Additional assignments will include research into firms, development of questions for class discussion, learning about typical office responsibilities, contracts, the design process in an office environment, construction administration, proposals, and readings. The overarching goal of the course is to prepare students for entry into an environmental design profession and to inform them of the many options available to them upon completion of their studies at the University of Michigan."
EAS 501.001,Proseminar: Interdisciplinary Approaches to African Studies,Fall 2024,3,,"This course provides an interdisciplinary overview of the history, societies, and political-economic development of sub-Saharan Africa.  The course largely draws on the research expertise of members of the AAS faculty and is aimed at broadening graduate student understanding of the continent, allowing a forum for the interchange of ideas among grad students in a diversity of disciplines."
EAS 501.002,Water Law,Winter 2025,3,,"Water is arguably the world's most precious resource, and learning water law is vital to understanding the present and future of water access. Generally, water law refers to the laws that govern ownership, access to, and management of water contained in rivers, lakes, and aquifers, as well as the land that immediately underlies those water resources. Specifically, this class will cover: the distinction in surface water interests between the riparian doctrine in the wetter eastern United States and the prior appropriation doctrine in the more arid western United States; groundwater interests in shared aquifers; the public trust doctrine; water inequality; dams and watercourse management; takings claims; federal water interests; interstate compacts; Supreme Court original jurisdiction over interstate water disputes; water rights in Indian country; transnational management of shared surface waters and aquifers; and the common enemy doctrine governing water redirection. In the examination of those topics, we will consider relationships of water law to issues of development and economic policy."
EAS 501.003,"Organizing: People, Power, and Change",Winter 2025,3,,"Do you want to learn how to make lasting changes on a larger scale than one person can normally achieve? Organizers do that by identifying, recruiting, and developing leadership; nurturing community around that leadership; and building power from the resources of that community. In this course, you learn how to do this kind of organizing in your workplace and your community. You will form leadership teams of 3 to 5 classmates based on common values, identify the constituency with which your team will work, develop a campaign strategy to make a change that constituents think is important, try to implement that strategy. Organizing is a craft: you learn by doing and you get better with practice. You will learn five core leadership practices: building public relationships, turning values into motivation through public narrative, turning resources into power by strategizing, turning intentions into effective action, and structuring organization to develop leadership, engage constituents, and achieve goals. You will also learn to coach others and to receive coaching in organizing practices."
EAS 501.004,Power Building and Community Organizing for Social Justice,Winter 2026,3,Michelle Martinez,"What is collective power? How do you build it? What is social justice? How do you achieve it? In this class students will ask the question of what it takes to build the kind of movements, and organizations, that seek to bend the arc towards justice through activism. The class will seek to understand the tactics and strategies that groups develop to build community power, how groups organize and escalate, to contend with global markets, political hierarchies, and economic and political power structures.  We will briefly look at the political framework of racial capitalism and the neoliberal project as the context through which power is wielded and against which campaigns are developed and waged. Participation is key, and students will practice “group work”, review and create a case study, and should seek to develop their own viewpoints on the phrase “theory of change”."
EAS 501.005,Advancing Climate Education,Winter 2026,2,,"This seminar is open to undergraduate, graduate, and doctoral students from all U-M schools and colleges, students who will work together to learn what actions and interventions can be taken to help mitigate climate anxiety and encourage action in both the students and their communities. Our goal is to provide SEAS, U-M and other institutions with specific recommendations for interventions to implement to ensure climate anxiety is turned into action."
EAS 501.006,International Agrifood Systems,Winter 2026,3,Allan Hruska,"This course uses a political economy lens to review and understand different agrifood systems worldwide, how they got to where they are, what drives them, and what's needed to improve their outcomes. We examine several critical agrifood systems and evaluate them using a set of sustainability metrics. We review recent research advances and discuss the transformation of the agrifood system."
EAS 501.008,Project Management,Winter 2026,3,Rajiv Ghimire,"The demand for research and practice at the intersection of project management and sustainability has grown rapidly in recent years. Projects are initiatives that are temporary, unique, and focused on achieving specific outcomes. Creating, implementing, and completing projects is crucial for meeting sustainability objectives. No wonder project management is one of the most sought-after skills in the job market. This class covers the fundamentals of project management, helping students develop project management and teamwork skills, focusing on applications in sustainability. Students will gain an understanding of the history of project management and the role of projects in addressing sustainability issues, and critically, how to lead as a project manager. This class will focus on the project life cycle, including initiation, planning, execution, problem solving, monitoring and evaluation, and closure. Course material includes inquiry and training in several knowledge areas related to project management, including scope, quality control, risk assessment, time management and scheduling, budgeting, communications, and leadership. We will also examine the ethics and critiques of project management, with application to sustainability, sustainable development, and interdisciplinary topics. By covering standards and certifications of project management in sustainability, this course will prepare students to take leadership as change agents."
EAS 501.009,Black Food Sovereignty,Winter 2026,3,shakara tyler,"This course will explore Black Agrarian Cooperatives and the connections to grassroots movements from historical and contemporary lenses. The goal of this course is to develop an analysis of food, farm, land, and environmental cooperatives as anti-capitalist strategies and practical implementations of justice. The course will examine historical and current case studies of Black cooperative philosophy and practice and how they operate in grassroots movement settings. Students will develop an understanding of the historical and contemporary factors that shape the emergence of Black agrarian cooperatives as acts of sociopolitical and socioeconomic resistance, community self-determination, and empowerment. Students will analyze grassroots case studies, policy landscapes, and community discourses connected to Black agrarian cooperative formations."
EAS 501.009,Sustainable International Development,Fall 2025,3,Allan Hruska,"This course offers an in-depth examination of sustainable international development , exploring key concepts, policies, and practices that shape the global development agenda. Students will critically analyze: Development theories Strategies employed by international organizations The impact of development interventions on various regions The course emphasizes understanding the roles of different stakeholders in addressing development challenges, including: Governments Non-governmental organizations (NGOs) International organizations The private sector"
EAS 501.010,Environmental Law and Policy,Fall 2025,4,,"This course provides an introduction to the laws and regulations we use to address environmental harms. It focuses on the major pollution control statutes, particularly the Clean Air Act, Clean Water Act, Resource Conservation and Recovery Act, Comprehensive Environmental Response, Compensation and Recovery Act, and Toxic Substances Control Act. We will also examine the role of the courts in interpreting these statutes as well as the underlying scientific, economic, and policy rationales for environmental protection. Recurring themes will include the balance of federal and state authority, the influence of interest groups (both industry and environmental organizations) on environmental policy, and the disparate impact of pollution on vulnerable populations. The course will also cover recent developments in administrative and constitutional law that have significant implications for environmental regulation, such as the major questions and non-delegation doctrines. Please note that this course follows the Law School Academic Calendar which has a later grading deadline than the general UM calendar."
EAS 501.010,Environmental Law and Policy,Winter 2025,4,,"This course provides an introduction to the laws and regulations we use to address environmental harms. It focuses on the major pollution control statutes, particularly the Clean Air Act, Clean Water Act, Resource Conservation and Recovery Act, Comprehensive Environmental Response, Compensation and Recovery Act, and Toxic Substances Control Act. We will also examine the role of the courts in interpreting these statutes as well as the underlying scientific, economic, and policy rationales for environmental protection. Recurring themes will include the balance of federal and state authority, the influence of interest groups (both industry and environmental organizations) on environmental policy, and the disparate impact of pollution on vulnerable populations. The course will also cover recent developments in administrative and constitutional law that have significant implications for environmental regulation, such as the major questions and non-delegation doctrines."
EAS 501.011,Grad Experimental,Winter 2025,3,,
EAS 501.011,The International Development Career Landscape and How to Successfully Engage,Fall 2025,1.5,Allan Hruska,This course reviews the organizational and opportunity landscape for students interested in a career in international development and helps students review their skills and plans to begin engagement with the international development community. Students explore organizations and reflect on their interests and their potential professional growth. They will identify opportunities for further learning and engagement and develop a professional online profile (LinkedIn).
EAS 501.016,Applied Energy Justice,Winter 2026,3,Justin Schott,"Building on the foundations of Dr. Reames’ energy justice course (EAS 525), this lab-style course will engage teams of students in tackling some of the most urgent energy justice challenges in collaboration with leading non-profit and public sector institutions. Moving beyond theory and principles, the central focus of this course is advocating and advancing energy justice in the face of barriers and opposition. Students will learn to navigate political, financial, and regulatory constraints and consider tradeoffs between transformative approaches and incremental progress. Students are expected to have substantial knowledge of environmental justice and the U.S. energy system via coursework (i.e., EAS 525, 527, 574) and/or professional experience."
EAS 501.019,CAD,Winter 2026,1,Keenan Gibbons,"This course teaches basic digital design modeling + process. Design modeling fuses creativity with physical geometry, visualizations, and feasible implementation. It spans from the beginning of the undefined idea through every stage of deliverables in the life of a project. This course will define a real-world site through initial schematic/planning, design development, and preliminary implementation level documentation. The major deliverables equivalently occur at (3) intervals throughout the term, with smaller deadlines based on progress exercises therein. The course will move quickly with students given instruction to execute each task. Learning Objectives: Students will learn how to use AutoCAD Civil 3D as an integrated platform for contemporary multidisciplinary design. AutoCAD software is vast, but how we navigate it as landscape architects, planners, and urban design practitioners is distinct and hinges on the consistent and precise definition of modeling, scale, file management, and legibility, among other factors."
EAS 501.020,Energy Law,Fall 2025,3,,"This course is an introduction to U.S. energy law. The first portion of the course introduces the nation's sources of energy: coal, oil, biofuels, natural gas, hydropower, nuclear, wind, solar, geothermal energy, and energy efficiency. In doing so, it explores the physical, market, and legal structures within which these energy sources are extracted, transported, and converted into energy. The second portion of the course turns to the two major sectors of our energy economy -- electricity and transportation -- and the full range of federal and state regulation of each sector. The third portion of the course explores case studies of hot topics in energy law and policy that highlight the complex transitions taking place in the energy system. These topics may include electric grid modernization, electric vehicles, the role of energy innovation in addressing climate change, and the continued role of nuclear energy. In addition to traditional textbook reading and class discussion, the course may include industry, government, and nonprofit guest speaker presentations. Please note that this course follows the Law School Academic Calendar which has a later grading deadline than the general UM calendar."
EAS 501.020,Energy Law,Winter 2024,3,,"This course is an introduction to U.S. energy law. The first portion of the course introduces the nation's sources of energy: coal, oil, biofuels, natural gas, hydropower, nuclear, wind, solar, geothermal energy, and energy efficiency. In doing so, it explores the physical, market, and legal structures within which these energy sources are extracted, transported, and converted into energy. The second portion of the course turns to the two major sectors of our energy economy -- electricity and transportation -- and the full range of federal and state regulation of each sector. The third portion of the course explores case studies of hot topics in energy law and policy that highlight the complex transitions taking place in the energy system. These topics may include electric grid modernization, electric vehicles, the role of energy innovation in addressing climate change, and the continued role of nuclear energy. In addition to traditional textbook reading and class discussion, the course may include industry, government, and nonprofit guest speaker presentations. *Please note that this course follows the Law School Academic Calendar which has a later grading deadline than the general UM calendar."
EAS 501.023,Comp Modeling-Decarb Energy Systems,Fall 2024,3,Michael Craig,"Reliable, affordable, and clean energy systems underpin human and economy wellbeing in the United States and globally. As energy systems decarbonize, these three objectives – reliability, affordability, and cleanliness – could come increasingly into tension. This course will provide students an in-depth understanding of and hands-on experience with computational models that we use to operate and plan power systems. While the course will be grounded in the United States context, the model formulations and principles are applicable globally. Projects, problem sets, and readings will reflect diverse stakeholders’ viewpoints and introduce key skills and concepts."
EAS 501.023,Renewable Electricity and the Grid,Winter 2024,1.5,"Michael Craig Owusu-Obeng, Papa Yaw","Due to technological advancement and supportive policies, renewable energy technologies like wind and solar power are rapidly growing in the United States and globally. Integrating renewable energy technologies into power systems requires an understanding of generation technologies, the resources they depend on, power system planning and operations, and economics and policy. This course will introduce students to and give them experience working on each of these issues. Projects, problem sets, and readings will reflect various stakeholders’ viewpoints and introduce skills and concepts that renewable energy professionals employ. Lectures and coursework will draw on materials from around the world, but the majority of material will be from the United States."
EAS 501.026,Governance and Institutions for Sustainability,Winter 2026,1.5,Allan Hruska,"This half-semester graduate course undertakes a critical examination of the institutional and organizational architecture that governs human-environment-economy interactions. Moving beyond diagnosis, the course seeks to understand how the explicit goals, ownership structures, and mandates of key actors—governmental organizations (national and multinational), private firms, and civil society (NGOs)—either fundamentally support or impede sustainable solutions. The course analyzes the institutional failures that block progress on the SDGs, focusing on practical barriers such as political and profit-driven short-termism, the fiduciary duties of corporations (and the added pressure of private equity), and the geopolitics and operational effectiveness of governmental and multilateral organizations. Students will develop the critical skills needed to assess organizational blueprints and understand the role of institutional design and function in achieving long-term sustainability goals."
EAS 501.026,Science and Management of the Great Lakes Lab,Fall 2024,3,Karen Alofs,Science and Management of the Great Lakes Lab section.  Please see EAS 501.025 for the full description.
EAS 501.030,Public Lands and Natural Resources Law,Winter 2026,3,,"Public Lands and Natural Resources Law studies the expansive body of federal and state constitutional provisions, statutes, rules, customs, and processes governing the ways individuals; corporations; and federal, state, and local governments interact with federal public lands, state lands, private lands, water, air, wildlife, minerals, and other natural resources. In this course, we will study: (1) the history and status of U.S. federal public lands and the past and present conflicts governing those lands; (2) the laws and regulations governing national parks, national monuments, national forests, grazing lands, energy resources, wildlife, and other natural resources; and (3) ownership interests and rights relating to public and private lands and resources. In addition, the course will help students gain an appreciation of our relationship with the natural environment from cultural, historical, and economic perspectives in addition to a legal perspective. *Please note that this course follows the Law School Academic Calendar which has a later grading deadline than the general UM calendar."
EAS 501.037,Sustainability and Supply Chains,Fall 2025,3,Joshua Newell,"Study of how everyday things—the food we consume, the clothes we wear, the furniture we sit on—intertwine urban dwellers with distant people, places, and spaces. The course provides theoretical and methodological approaches to understand how supply chains and networks are perpetually reconfigured by processes of (de)globalization and the role of corporations, nation-states, labor, NGOs, and consumers. The course provides understanding on efforts to make supply chains more sustainable, resilient, and humane.  Students will learn the skills necessary to track the origin of products through the supply chain, as well as methods and practices to calculate the carbon footprint of corporate supply chains, especially Scope 3 emissions."
EAS 501.040,Environmental Justice,Winter 2026,2,,"Every day with regard to the environment, decisions are made and actions are taken that disproportionately impact people of color, indigenous peoples, and the poor. Can we ever achieve environmental justice through the law? This course examines whether and how our legal system can address environmental racism and other forms of environmental injustice. After covering the history of the environmental justice movement as both a social and legal phenomenon, we will explore and assess the legal frameworks available to address environmental injustice. With regard to legal frameworks, we will spend most of our time on tort, civil rights, environmental-administrative, and land use & zoning. The environmental administrative framework will include pollution control laws (e.g. Clean Air Act, Clean Water Act), utility rate-setting, management of natural resources & public lands, and climate change. Apart from traditional legal materials, we will also read social science & public health scholarship, newspaper articles, history, philosophy, and literature."
EAS 501.042 Environmental Justice New Directions,,Winter 2026,3,Paul Mohai,"The goal of this course is to focus on current issues and likely future directions in the environmental justice field and movement. In doing so, we will examine the current state of environmental justice research and evaluate how much progress has been made to date in policy developments to address and solve the problems, as well as assess where future efforts need to be directed. We will attempt to get the perspectives of community, academic, and government leaders. Interest in environmental justice has spread to other countries around the world. The U.S., however, has been seen as the leader on this issue. Those studying environmental justice in Europe and in developing countries have relied on U.S. involvements to guide them. A comparison between environmental justice movements in the U.S. and internationally will thus also be made. At the end of the course, students should not only have a good understanding of the current state of environmental justice but also be prepared to analyze, critique, and contribute to the academic and political debates surrounding it. There are no prerequisites for this course."
EAS 501.055,"Environmental Racism, Health, and Pathways for Justice",Winter 2026,3,Heidi Hausermann,"This course examines environmental racism in historic and contemporary settings, and links environmental racism to uneven burdens of disease and ill-health. This course operates with the assertion that environmental racism is real and a lived experience for many people worldwide. We will not debate the importance of social determinants, risk factors, or behaviors. Rather, we will investigate the historical, spatial, and socio-ecological processes (e.g. racial capitalism, white settler colonialism, stigmatization) that shape environmental racism and the uneven distribution of ill health and disease. We will also examine how people mediate these dynamics and work toward healing, well-being, and justice."
EAS 501.071,Data Science for the Environment,Winter 2025,3,Kai Zhu,"Data science is rapidly changing environmental scholarship. Environmental data are growing exponentially in size and quality at an unprecedented rate. The data deluge comes with new challenges of sifting, processing, and synthesizing large and diverse sources of information. In this course, students will learn the fundamental practices of environmental informatics mainly using the R programming language. The workshop-style course is designed without the requirement of prior experience in R. The class will include environmental-related modules such as climate change, plant growth, animal predator-prey dynamics, overfishing and marine protected areas. Each module will introduce new datasets and questions, leading to new hands-on skills. Students will use these skills throughout the quarter to find an environmental-related topic, draft a proposal, search for data, perform analyses, summarize results, and complete a final paper."
EAS 501.074,Sustainable Urban Systems,Winter 2026,3,Benjamin Goldstein,"As global centers of population and economic activity, cities consume vast amounts of resources. The demand for energy, building materials, water, mobility, and consumer goods in cities fuels unequal environmental change in multiple dimensions both inside cities and at distal locations beyond their borders. At the same time, access to these resources and the essential services they provide is also grossly unequal within and between urban areas. This makes cities critical to just decarbonization and to equitably achieving a range of other societal sustainability goals. To support the necessary transition to a more sustainable urban future through policy and urban design, cities need robust metrics to track their environmental performance. This course introduces graduate students to cutting-edge methods to measure and map the stocks and flows of energy and materials in cities and their related environmental impacts. We start with an introduction to the interdisciplinary metaphor of urban metabolism – the churn of material and energy flows within and across urban boundaries – and theories of urban land teleconnections, planetary urbanization, and other multi-scalar conceptualizations of urban processes. We then review current methods to quantify the metabolism, including input-output analysis and carbon accounting protocols for cities. Students then learn how to develop bottom-up estimates of the environmental footprints of cities using methods from industrial ecology – material flow analysis, life cycle assessment, carbon footprint – and a variety of novel data sources. Solutions inspired by engineering, industrial/urban symbiosis, and allied fields will be proposed and tested to promote more sustainable cities via group projects on a case city. Course deliverables include quizzes, a midterm exam, individual papers and multimedia reflections, tutorials, and a large group project."
EAS 501.079,Communicating Climate Change,Winter 2026,3,Nathaniel Geiger,"This course provides an overview of different methods of climate change communication, with a particular focus on communication designed to promote public engagement with climate change. The class will explore public opinion on climate change, different theoretical perspectives on barriers to effective communication and public engagement with the topic, and compare and contrast the effectiveness of different methods of climate change communication across different contexts, mediums, and for different goals. This course takes a predominantly social scientific approach, meaning that we will mostly read and reflect on articles that scientifically test the effectiveness of various communication strategies."
EAS 501.080,Digital Fundamentals for Visualizing the Environment,Winter 2024,1,Amanda V. Szot,
EAS 501.083,Energy Politics and Policy,Winter 2026,3,Geoffrey Henderson,"To understand how to advance climate justice, this course introduces students to the politics and policy of the contemporary energy system, with a focus on electricity production and use. We will examine energy systems in the United States and in countries around the world at various stages of industrialization, centering fenceline communities’ perspectives. Students will learn the characteristics of energy technologies, perform the calculations necessary to compare policy options, identify key actors and interests in the energy system, and make original arguments about how the choices we make in our energy system are rooted in politics."
EAS 501.085,Speculative Landscapes: Design as Inquiry,Winter 2026,2,Lisa DuRussel,"This design seminar-studio positions landscape architecture as a tool for critical speculation and inquiry, inviting students to imagine futures that challenge the boundaries of current environmental, social, and technological paradigms. Framed around the structure of a design competition, students will investigate emerging and uncertain conditions—climate adaptation, post-industrial transformation, multispecies coexistence, and planetary change—through experimental design proposals."
EAS 501.098,Ecological Design and Planning Theory,Fall 2025,3,Joan Iverson Nassauer,"To consider how policy, design, and planning might affect human behavior to achieve more sustainable and just landscapes, this seminar will introduce and critically discuss theories about aesthetic experience of landscapes.  It will focus on everyday landscapes, drawing comparisons among cultural experiences and with well-known landscape designs.  Course readings and class discussions will draw on literature in social science, design, and philosophy of aesthetics, and importantly, students’ own experiences.  Students from all disciplines are welcomed to this seminar. “Aesthetic experience” means enjoyment of noticeable characteristics. The underlying premise for linking landscape aesthetics and human behavior is: People protect or change landscapes to make places that conform with their personal, social, and cultural aesthetic values - about nature, care, stewardship, neighborliness, and financial value.  These values and their associated landscape characteristics can be tactically employed in landscape interventions that also support more healthy, just and sustainable urban and rural landscapes. In short, to promote behavior that supports sustainable and just landscapes, use landscape characteristics give people immediate enjoyment. The course will have two activities:  First, a series of student-led discussions of required readings to establish a shared conceptual foundation for further examination; each week two or three papers from the refereed literature will be discussed. Second, discussions of topics related to individual student papers, in which students pursue their own interests.  Papers are short (less than 5000 words with references) fully referenced (APA Style) paper.  The paper will initially be produced as a draft for feedback before final submission."
EAS 501.098,Ecological Design and Planning Theory,Winter 2024,3,Joan Iverson Nassauer,"To consider how policy, design, and planning might affect human behavior to achieve more sustainable and just landscapes, this seminar will introduce and critically discuss theories about aesthetic experience of landscapes.  It will focus on everyday landscapes, drawing comparisons among cultural experiences and with well-known landscape designs.  Course readings and class discussions will draw on literature in social science, design, and philosophy of aesthetics, and importantly, students’ own experiences.  Students from all disciplines are welcomed to this seminar. “Aesthetic experience” means enjoyment of noticeable characteristics. The underlying premise for linking landscape aesthetics and human behavior is: People protect or change landscapes to make places that conform with their personal, social, and cultural aesthetic values - about nature, care, stewardship, neighborliness, and financial value.  These values and their associated landscape characteristics can be tactically employed in landscape interventions that also support more healthy, just and sustainable urban and rural landscapes. In short, to promote behavior that supports sustainable and just landscapes, use landscape characteristics give people immediate enjoyment. The course will have two activities:  First, a series of student-led discussions of required readings to establish a shared conceptual foundation for further examination; each week two or three papers from the refereed literature will be discussed. Second, discussions of topics related to individual student papers, in which students pursue their own interests.  Papers are short (less than 5000 words with references) fully referenced (APA Style) paper.  The paper will initially be produced as a draft for feedback before final submission."
EAS 501.107,SusDev Foundations: Cross-Cutting Issues,Fall 2025,1.5,Rajiv Ghimire,"This class will examine key cross-cutting themes of sustainability and development through the framework of sustainability science. With its focus on use-inspired, basic, interdisciplinary research, the field of sustainability science has emerged as a foundational means to think through human-environmental relationships and social-ecological systems. Key thrusts in sustainability science – to bridge the gap between science and practice and across social, ecological, and professional sciences – are central to understanding and changing the trajectories of unsustainable development in many regions and countries, societies and communities, sectors, and markets. Students taking the course will (1) learn about the core principles of sustainability science and its antecedents, and (2) focus on four cross-cutting themes relevant to sustainability: Equity and justice, adaption to shocks, and transformational change, knowledge-action relationships, and governance of complex systems. Learning goals and outcomes - Develop an understanding of key concepts in sustainability science, the ability to use them, and the capacity to understand their relationships - Identify how empirical writings apply these key concepts and the major theoretical underpinnings of sustainability science and assess and critique their use in the literature - Analyze political and institutional dimensions of sustainability - Apply concepts and framings of interest to you in creating an independent empirical case study related to one of four issues in sustainability science: 1. Equity/Justice in sustainability; 2. Knowledge to Action; 3. Adaptation, 4. Governance of social-ecological systems"
EAS 501.117,Transformations: Commoning for Social Action,Fall 2024,3,Arun Agrawal,"Transformations are common. Transformations towards sustainability are rare. The course will use a combination of case studies of past transformations, conversations with leaders working towards transformations today, and peer learning to support strategy development for social transformations. This course will be offered as two different 7-week sessions - the second part of Fall 2023 and for a similar time in the second half of Winter 2024. In the intervening period, students will work on projects with real-world partners to develop a draft strategy for transformation in a defined area of interest. In winter 2024, we will meet to finalize their transformation strategies as a final paper for the course.  Students are not required to complete both sessions.  They may opt to only enroll in the Fall B session."
EAS 501.117,Transformations: Commoning for Social Action,Winter 2024,1.5,Arun Agrawal,"Transformations are common. Transformations towards sustainability are rare. The course will use a combination of case studies of past transformations, conversations with leaders working towards transformations today, and peer learning to support strategy development for social transformations. This course will be offered as two different 7-week sessions - the second part of Fall 2023 and for a similar time in the second half of Winter 2024. In the intervening period, students will work on projects with real-world partners to develop a draft strategy for transformation in a defined area of interest. In winter 2024, we will meet to finalize their transformation strategies as a final paper for the course.  Students are not required to complete both sessions.  They may opt to only enroll in the Fall B session."
