,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other
47,AERSP 304,AERSP,304,,Dynamics and Control of Aerospace Systems,"Vibrations of single, multiple, and infinite degree-of-freedom systems; operational methods applied to aerospace vehicles; design of controllers.",3,3,"Prerequisite:  AERSP313 , E MCH212"
50,AERSP 308,AERSP,308,,Mechanics of Fluids,Kinetics and dynamics of fluids; perfect fluid theory using complex variables; introduction to viscous flow theory; fundamentals of compressible flow.,3,3,Prerequisite:  E MCH212 or E MCH212H ; MATH 251
53,AERSP 312,AERSP,312,,Aerodynamics II,"Fluid mechanics of viscous and compressible flows, laminar boundary layers, turbulent flows, isentropic flows, shock waves, supersonic life and drag.  AERSP 312 Aerodynamics II (3) Exact solutions of the Navier-Stokes equations for unsteady flow. Boundary layers solved by the methods of Blasius, Falkner-Skan and Thwaites. Boundary layer stability and transition to turbulence. Turbulent flow and solution methods. Fluid flow measurement techniques and numerical methods. Derivation of the governing equations for the conservation of mass, momentum and energy for compressible flow. Steady one-dimensional isentropic flow. Normal, traveling and oblique shock waves. Compressible flow with area change and converging-diverging nozzle flows. Prandtl-Meyer expansions and supersonic life and drag. One-dimensional flow with friction or heat transfer. Unsteady and linearized compressible flow. Introduction to the method of characteristics. This is the second of a two course sequence in aerodynamics and is a prerequisite for senior level courses in propulsion and design. Evaluation of student performance will be by two midterm exams worth approximately 25% each, a final exam worth approximately 35% and weekly homework assignments worth approximately 15%.",3,3,Prerequisite: AERSP 311 and AERSP 313 and ( ME 201 or ME 300 )
56,AERSP 399,AERSP,399,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
59,AERSP 402A,AERSP,402,A,Aircraft Design--Preliminary,"Conceptual and preliminary design of an aircraft, its constituent subsystems, and related systems, to satisfy a given set of specifications.  AERSP 402A Aircraft Design -- Preliminary (3) AERSP 402A is the first of a two-semester sequence of senior capstone design courses. In this course, students will complete the preliminary design for an aircraft such that it satisfies the assigned specifications. Students completing this course will have the ability to design a system, component, or process to meet desired needs in aircraft systems; they will have the ability to function on multi-disciplinary teams; and they will have the ability to identify, formulate, and solve engineering problems. In addition, students will have the background to help determine what the ethical responsibilities are to themselves, to employers, and to society. Classes (115 minutes each, twice weekly) include lecture and time for team meetings.",3,3,Prerequisite:  AERSP306 . Prerequisite or concurrent: AERSP413
62,AERSP 405,AERSP,405,,Experimental Methods and Projects,"Experimental methods involving a variety of aerospace engineering topics; teams of students focus on adanced measurement techniques and project engineering. AERSP 405 Experimental Methods and Projects (3) This is a senior-level elective laboratory course that builds on AERSP 305 ""Aerospace Technology Laboratory."" The first part of AERSP 405 addresses the engineering of typical data acquisition systems through a series of lectures and laboratory experiments. Data acquisition and processing are covered as they relate to a broad range of engineering experiments. Several sessions in the laboratory provide students with hands-on experience with data acquisition, followed by computer program exercises to complete the assignments. Initially the lectures are twice a week (75 minutes each). This activity comprises approximately 20 % of the total course. The major portion of the course introduces students to ""real-world"" projects in engineering and laboratory research. Students work in teams to identify, formulate, plan and solve engineering problems associated with a design or system, the completion of an experiment, or an extensive computational simulation requiring a team of students. Teams of 2 to 4 students are assigned, following student input on preferences from a list of proposed projects. Students learn, through practice, the methodology of team project engineering. The teams each develop goals for the semester's project, performed following a careful work breakdown analysis with realistic time estimations and scheduling. Many of the projects involve the design and completion of an experiment. As part of the project, students will assemble, analyze and interpret relevant data, and prepare progress and final reports (written and oral). The reports should contain graphs that go with the text to provide the necessary data interpretation. The topics in the projects have application to a variety of research programs currently underway at Penn State. At the initiation of the project activity, lectures on principles of project planning including Gantt chart preparation, work breakdown structures and critical path considerations are presented. Common best practices for the preparation of project proposals, reports, presentations and general record keeping are discussed. Overall meetings with the course instructor become bi-weekly once the projects are underway. Many of the projects also have knowledgeable graduate student or faculty consultants to assist with project planning and implementation. Project consultants conduct occasional individual review meetings with each team. Much of the project coordination work is undertaken within the regularly scheduled hours for the course. The class meetings include a combination of informal presentations by the students and, occasionally, the instructor on important technical issues. Considerable class time is spent discussing the goals and progress of individual tasks, and each student gives several brief oral presentations.",3,3,Prerequisite:  AERSP305W
65,AERSP 412,AERSP,412,,Turbulent Flow,"Homogeneous turbulence; spectral transfer of energy, viscous dissipation; turbulent shear flow: mixing-length theory, eddy viscosity, scaling laws, energy budget.",3,3,Prerequisite:  one course in fluid mechanics
68,AERSP 420,AERSP,420,,Principles of Flight Testing,"In-flight and analytical studies of airplane performance, stability, and control; reduction of data; instrumentation; flight test techniques.",3,3,Prerequisite:  AERSP306
71,AERSP 425,AERSP,425,,Theory of Flight,"Advanced wing and airfoil theory, conformal mapping, slender body theory.",3,3,Prerequisite:  AERSP306
74,AERSP 450,AERSP,450,,Orbit and Attitude Control of Spacecraft,"Principles of mechanics and vector analysis applied to basic concepts of satellite motion and control, rocket ballistics, and gyroscopic instruments.",3,3,"Prerequisite:  AERSP304 , AERSP309"
77,AERSP 470,AERSP,470,,Advanced Aerospace Structures,"Design and analysis of aerospace structures.  Plates and sandwich panels; composite materials; structural dynamics; aeroelasticity; damage tolerance.  AERSP 470 Advanced Aerospace Structures (3) AERSP 470 covers important topics in aerospace structures beyond basic stress and deflection analysis of thin-walled beams. The objectives of the course are to help students: 1) appreciate the roles that structures and structural materials play in aerospace vehicles; 2) understand general design concepts for aerospace structures: vehicles, components, and materials; 3) develop the analysis tools and skills needed to analyze the static and dynamic performance of aerospace structures; and 4) gain experience identifying, formulating, and solving aerospace structural engineering problems.AERSP 470 builds on structural, dynamics, and aerodynamics topics covered in PHYS 211, EMCH 11 & EMCH 13 (or EMCH 210), EMCH 215 & EMCH 216, AERSP 301, AERSP 306, and AERSP 304. It prepares students for entry-level work or graduate study in the analysis and design of aerospace structures. It also provides students with the strong background needed to contribute effectively to multidisciplinary trade studies in vehicle design activities.AERSP 417 begins with a review of the general features of flight vehicle structures and aerospace structural design concepts. Then, the deflection and stress responses of flat plates and sandwich panels under lateral and in-plane loading are addressed. About a third of the course is devoted to the behavior of advanced composite panels, and another third to structural dynamics and aeroelasticity. The course finishes with treatments of joining and damage tolerance, both key topics with respect to the design of aerospace structures.",3,3,"Prerequisite:  AERSP301 . Prerequisite or concurrent: AERSP304 , E MCH315"
80,AERSP 492,AERSP,492,,Space Astronomy and Introduction to Space Science,"The physical nature of the objects in the solar system; the earth's atmosphere, ionosphere, radiation belts, magnetosphere, and orbital mechanics.",3,3,Prerequisite:  E E  330 or PHYS 400
83,AERSP 496,AERSP,496,,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,
86,AFAM 3,AFAM,3,,Scholarship and Community,Introduction to college life for new students in a designated residential community to help them optimize their Penn State experience.,1,1,Prerequisite:  students must be participating in the Pennypacker Experience to   take this course
89,AFAM 101N,AFAM,101,N,African American Women,"This course offers an introduction to the sociological, historical, and political experiences of African American women, their roles and contributions to society. Through an interdisciplinary approach, we will pay particular attention to historical and contemporary responses to intersectional challenges African American women face. Drawing from the 19th, 20th, and 21st centuries, through the use of print and digital texts, oral histories, film, music, poetry, and local events, we will investigate various forms of social and political activism including work in labor, civil rights, black power, feminist, womanist, and other movements, the impact of popular culture on what it means to be an African American woman, as well as the implications of claiming such an identity. By focusing on key moments, institutions, and figures in history, the course demonstrates African American women's central roles in the development of American institutions as we know them today, and challenges students to engage critically with questions of race, gender, class, and sexuality, as they wrestle with theories of Black Feminist Thought and Womanism.",3,3,Cross-listed with: WMNST 101NBachelor of Arts: HumanitiesBachelor of Arts: Social and Behavioral SciencesUnited States Cultures (US)General Education: Humanities (GH)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: InterdomainGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Soc Resp and Ethic Reason
92,AFAM 105N,AFAM,105,N,Afro-Latin America: Race and Revolution,"Too often the history of race in the Americas is overly defined by concepts of racial identity and race relations in the United States. When examined quantitatively, fewer than five percent of the approximately 10 million slaves who survived the Middle Passage arrived in what we know as the United States of America. This course will examine the impact of slavery throughout the Americas, from the establishment of the plantation in Brazil through the impact of Black migration throughout the Americas today. Through lecture and discussion, we will identify patterns of racial identity and participation in the formation of the Latin American nation state that will give us a more nuanced understanding of both race and nation in the Americas. We will examine the development of the modern plantation from the sixteenth to the nineteenth century as well as the role of urban slavery in this era throughout Latin America. We will study the various paths to abolition with a particular focus on the Haitian Revolution and the common practice of military service among slave populations during the early nineteenth century struggles for Latin American independence. Additionally, we will look at the comparative abolition of slavery in the United States and Latin America, the role of slaves and free blacks in Central America, as well the role of race in the tensions between Haitians and Dominicans on the island of Hispaniola. The second half of the course will move to an examination of contemporary black politics, patterns of anti-black racism and state violence, and the emergence of new social movements for racial, gender, and economic justice in the Americas. This course meets the criteria for General Education designation in the B.A. fields of Humanities (GH), Social and Behavioral Sciences (GS), and International Cultures (IL).",3,3,Bachelor of Arts: HumanitiesBachelor of Arts: Other CulturesBachelor of Arts: Social and Behavioral SciencesInternational Cultures (IL)General Education: Humanities (GH)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: InterdomainGenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Global Learning
95,AFAM 116,AFAM,116,,Muslims in America,"This course is a study of Muslims in North America, primarily the United States. It examines the multiple racial, cultural, and national groups that comprise this diverse community, starting with the historical record of the Muslims that came to the Americas as African slaves. Next, we examine African American Islam in its myriad formations. The influx of immigrants in the 1960s from the Middle East, Africa and Asia, dramatically shifted demographics in U.S. Muslim communities. Finally, we consider the post-9/11 period, which has put Islam and Muslims at the center of U.S. political and cultural discourse.",3,3,Bachelor of Arts: Other CulturesInternational Cultures (IL)General Education: Humanities (GH)
98,AFAM 136,AFAM,136,,"Race, Gender, and Employment","This course will ask how race and gender affect work in the contemporary United States. We will consider how race and gender shape people's work opportunities, their wages at work, and whether they participate in paid or unpaid labor (or both). We will begin with an overview of work and the changes in the workforce over time; we will move to investigate how workplace structures reproduce gender and race inequalities; will ask how race and gender inequalities are informally maintained through education systems and social networks; will consider differing dimensions of inequality across poverty, immigration, and sexuality; and will consider how studying unpaid labor helps us better understand the formal paid economy.",3,3,"Cross-listed with: LER 136, WMNST 136Bachelor of Arts: Social and Behavioral SciencesUnited States Cultures (US)General Education: Social and Behavioral Scien (GS)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Soc Resp and Ethic Reason"
101,AFAM 141N,AFAM,141,N,African American Read-In Engaged Learning Experience,"This course will allow students to study African American literature, culture, history, and arts in connection with an annual public event, the African American Read-In (AARI). The AARI, promoting literacy and appreciation of African American literature, is a national event established in 1990 under the auspices of the National Council of Teachers of English. It has become a regular feature of Black History Month celebrated by community, neighborhood, and church groups as well as schools and institutions of higher education throughout the United States and elsewhere on a given Sunday and Monday in February attracting more than a million participants annually. This course offers students an engaged learning experience in which they will produce original intellectual and artistic content to be presented publicly at an AARI event on campus. Students will study texts from a range of historical periods and/or genres, and thus gain a solid introduction to the African American literary tradition. At the same time, the primary organizing principle of the course will be a particular theme that both allows a broad and coherent overview of a significant cultural or historical topic and engages issues of cultural diversity in the United States. The specific theme, thus, will bring the study of African American literature into a broader interdisciplinary context that intersects with African American culture, history, identity, and the struggle for equality. Students will study texts that relate to this annual theme and participate in a relevant field trip (museum, theater, cultural site, library, etc.) to deepen their understanding of the significance and contexts, social, historical, cultural, artistic of these materials and this theme. They will then develop this knowledge through creative and critical engagements into exhibitions, presentations, or performances to communicate their insights about a particular author, text, or topic in in the African American literary tradition. As shapers of the AARI program on their campus, class members will also have a voice in designing and planning the AARI as well as a stake in its overall success. As this course necessarily spans semesters, students who enroll in the Fall course will be expected to enroll in the Spring course in order to present their projects at the AARI in February. Only students who were enrolled in the Fall course will be permitted to enroll in the Spring, as it is the culmination of the same course.",1,3,"Cross-listed with: ENGL 141N, INART 141NUnited States Cultures (US)General Education: Arts (GA)General Education: Humanities (GH)General Education -  Integrative: InterdomainGenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Global LearningGenEd Learning Objective: Integrative Thinking"
104,AFAM 147,AFAM,147,,The Life and Thought of Malcolm X,"The life of Malcolm X/El Hajj Malik El Shabazz (1925-1965) and his social, political, economic, and moral thought. AFAM 147 / RLST 147 The Life and Thought of Malcolm X (3) (GH;US)(BA) This course meets the Bachelor of Arts degree requirements. This course will examine in-depth the life, speeches, and thoughts of Malcolm X/El Hajj Malik El Shabazz. While the Autobiography will be a major source, we will also use other sources to develop an understanding of the philosophy and thought of Malcolm X. We will explore the social, economic, political, cultural, religious, moral, and spiritual context of America in general and of African Americans in particular. We will examine Malcolm X's influence on the period in which he lived and since his assassination. We will compare and contrast his view on issues of race, culture, politics, education, crime, human rights, civil rights, morality, and economics with those of other African American leaders and with the prevailing views of most Americans on those subjects. We will devote a large portion of the course to the examination of the social movements that impacted on Malcolm and those that he influenced. The speeches of Malcolm X and the writings about Malcolm X are instructive and will be utilized along with other documents. Videotapes and audiotapes will also be employed as instructional materials. Students are expected to be ACTIVE participants in the learning/teaching experience. Students are required to participate in class discussions centered on the readings and related topics. There will be a written mid-term examination and a written final examination. Students are expected to complete an individual research project related to the course and write a paper on that research as well as to participate in a collaborative group project of their choosing on a subject related to the class. This course will count in the supporting courses category of the major and minors in African/African American studies. It also will fulfill credits in the Religious Studies Program. It may also be used to fill GH and US requirements.",3,3,Cross-listed with: RLST 147Bachelor of Arts: HumanitiesUnited States Cultures (US)General Education: Humanities (GH)
107,AFAM 197,AFAM,197,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",1,9,
110,AFAM 210,AFAM,210,,"Freedom's First Generation: African American Life and Work, from the Civil War to World War II","HIST/AFAM 210 explores the context and events that shaped African American life during the post-abolition period from the U.S. Civil War until WW II. The course begins with a comparative examination of the decline of African slavery and of emancipation throughout the Americas, and then focuses on Black lives in the United States. The course explores a wide range of topics, including: Black identity in the U.S., the criminalization and disposability of Black bodies, Reconstruction, Jim Crow Laws, lynching, forced labor, the rise of African American leadership, gender and reproduction under slavery and in freedom, the development of protest strategies, the impact of industrialization and urbanization, and the significance of African American culture and art.",3,3,Cross-listed with: HIST 210Bachelor of Arts: HumanitiesUnited States Cultures (US)General Education: Humanities (GH)GenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies
113,AFAM 213Y,AFAM,213,Y,African American Women's History,"This course examines the social, political, and economic history of African American women in the United States from slavery to the present. Using secondary and primary sources along with film and discussion, we will explore the varied lived experiences of African American women paying special attention to the themes of family, sexuality, labor, politics, and religion. We will examine how the simultaneity of racial and sexual oppression influence African American women¿s actions. Additionally, we will consider dominant images of African American women in a historical context. While the course is primarily discussion in format, the professor will lecture when necessary. As the course is writing-intensive, papers of various lengths constitute the bulk of student assessment.",3,3,"Cross-listed with: HIST 213Y, WMNST 213YBachelor of Arts: HumanitiesUnited States Cultures (US)General Education: Humanities (GH)GenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key LiteraciesWriting Across the Curriculum"
116,AFAM 250,AFAM,250,,Introduction to the Caribbean,"A survey course exploring the emergence and historical evolution of the modern Caribbean. This course will explore the evolution of the Caribbean region from the eve of the arrival of Columbus to the 21st century. It will explore Indigenous societies prior to the arrival of Columbus and the interactions that lead to their destruction and the consolidation of European colonial empires. We will explore the coercive labor systems that emerged in the region including indentureship, Indigenous enslavement, transportation of Europeans, the establishment of African slavery, and the establishment of the plantation system that defined the region until the 20th century using both free and unfree labor to maintain its dominance in these island societies. Themes examined will include revolutions in Haiti and Cuba, the struggle for independence, slavery and racial hierarchy, the rise of U.S. neo-colonialism and hegemonic control in the region, nationalism, tourism, and the economic underdevelopment that defines the Caribbean until today.",3,3,Cross-listed with: HIST 250Bachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Global LearningGenEd Learning Objective: Key Literacies
119,AFAM 299,AFAM,299,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,
122,AFAM 364N,AFAM,364,N,Black & White Sexuality,"This course explains how narrow, ""black and white,"" ways of thinking limit our understanding of the diverse expressions of human sexuality. The course title's double meaning also references the various ways that sexuality is socially constructed in relation to race. For example, we will explore how stereotypical beliefs about the sexuality of people of African descent persist in the United States and have been legitimized historically by various cultural discourses, social institutions, and academic fields. Course assignments will require us to rethink and challenge what we understand as ""sexuality"" and consider its many influences like race, gender, class that shape our emotions, needs, desires, relationships, representations, practices, and public policies. An aim of this course is to begin to make sense of the long, entangled, and inextricable relationship between race and sexuality in the United States.",3,3,Cross-listed with: WMNST 364NUnited States Cultures (US)General Education: Humanities (GH)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: InterdomainGenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical Think
125,AFAM 401,AFAM,401,,Afro-American Studies Seminar,A seminar examining theoretical and methodological issues in Afro-American Studies.,3,3,"Prerequisite:  AF AM100 , AF AM101"
128,AFAM 412,AFAM,412,,African American Theatre,"Exploration of the development of African American theatre from its roots in Africa through the diaspora, to the present time. THEA 412 / AFAM 412 African American Theatre (3) (US;IL) (BA) This course meets the Bachelor of Arts degree requirements.In this course, we will explore the development of African American theatre from its roots in Africa and Europe, through the diaspora, to the present time. We will learn something of the rich diversity of African American people and their contribution to the world's creative mainstream. We will become acquainted with both historical and contemporary artists who created and continue to create this unique American art form. The goals of the course are: 1)to develop familiarity with African American theatre and the socio-historic context in which it was created 2) to develop an understanding of the relationship of African American theatre to mainstream American theatre 3) to acquire an appreciation of the schools, styles, and techniques of African American theatre We will do this by reading and engaging plays in the context of the period in which they were created, viewing films of plays, and attending relevant productions where possible.",3,3,Prerequisites: THEA 100; THEA 105; THEA 106; DANCE 100
131,AFAM 431,AFAM,431,,Black Liberation and American Foreign Policy,"This course deals with American foreign policy and Black liberation in Africa since 1945. AFAM 431 / HIST 431 Black Liberation and American Foreign Policy (3) (US;IL)(BA) This course meets the Bachelor of Arts degree requirements. Black Liberation and American Foreign Policy in Africa since 1945 presents an interdisciplinary approach to the study of American foreign policy in Africa. Course readings will consist of both secondary and primary sources to explore the evolution of American policy toward the continent over the last half-century, and the meaning of the American engagement with Africa for American politics and society. The course will also examine the reasons that Africa has served as a focus of concern among African Americans both prior to, and, over the period 1945 to the present. Of particular concern will be the ways in which American policy has reflected pressures from African Americans as a constituency in foreign policy. The focus of the course will be student-centered written research and discussion. Students will be required to select topics from the course outline for presentation in class with the instructor serving as the moderator of discussion and guide to relevant research materials. Students will be encouraged to use both primary and secondary sources for their research. Students will be expected to prepare two individual written presentations which will serve as the basis for class discussion (30% of the grade), a book review (10% of the grade), and a research paper of 15 pages (40% of the grade) on a topic drawn from the areas identified in the course outline. The final 20% of the grade will be awarded for participation in class discussion.",3,3,Prerequisite:  3 credits in African history; 3 credits in African political   science; or 3 credits in American political science
134,AFAM 460,AFAM,460,,African American Philosophy,"Major works by African American Philosophers, on topics of race, freedom, citizenship, nationhood, law and society.",3,3,Prerequisite:  AF AM100 or PHIL 009 and 5th semester standing
137,AFAM 467,AFAM,467,,African American Novel II,"This course examines the African American novel, its forms, and its traditions starting during the Harlem Renaissance. It follows the genre's evolution into the twenty-first century, outlining the relationships among the texts that form the body of African American narrative as well as the relationships of those texts to the constantly shifting cultural and political realities surrounding their writing. From the Renaissance heralded by Alain Locke, through the Civil Rights and Black Power Movements -and their attendant Black Arts Movement- and into the era of the Movement for Black Lives, course readings encompass a broad range of styles and genres, from realism, naturalism, and naturalist primitivism, through the experimental forms, magical realism, and ""postrace aesthetics"" of later times. The course invites students to think critically about the African American novel as a socially and politically engaged form, and to identify and analyze the long tradition of resistance that variously informs its development. Authors covered in the course might include major figures such as Claude McKay, Zora Neale Hurston, Nella Larsen, Wallace Thurman, Richard Wright, Ralph Ellison, Ann Petry, James Baldwin, Ishmael Reed, Earnest Gaines, Alice Walker, Toni Morrison, Toni Cade Bambara, Octavia Butler, Gayle Jones, Samuel Delany, Charles Johnson, John Edgar Wideman, Colson Whitehead, and others. Still, the course gives due attention to lesser known/studied materials from the period, including graphic novels, satire, speculative fiction, performance novels, and various other experimental forms. Course readings and instruction give particular attention to how African American novels of the twentieth and twenty-first centuries variously engage social identity categories, like race, gender, class, and sexuality, and how they engage and resist various literary conventions associated with naturalism, modernism, and postmodernism. The course also traces the development of new thematic and aesthetic interests in a generation of writers whose fiction has been influenced by the explosion of interest in the graphic novel, the popularity of cultural forms such as hip hop, and the ascendancy of the digital age. Scholarly readings accompany primary texts to give students a sense of the critical work that has gone into and continues to go on in the study of African American literature. In this course, students learn how to analyze literature, do close and careful readings of texts, conduct related research, and write persuasively about literary works. Assignments and discussions are designed such that students may engage with course figures and materials within their historical milieus.",3,3,Prerequisite: ENGL 15 or ENGL 15A or ENGL 15S or ENGL 15E or ESL 15 or ENGL 30H or ENGL 30T or ( ENGL 137H and ENGL 138T )
